Survived,Pclass,Age,SibSp,Parch,Fare,Normalized
1,1,30,0,0,31,-0.308061222
1,3,32,0,0,78.542,-0.17249692
1,1,17,1,0,108.9,-0.085932176
1,2,40,0,0,15.75,-0.351546048
1,3,1,0,2,157.417,0.052412303
0,3,25,0,0,7.775,-0.374286474
1,1,60,1,1,79.2,-0.170620657
0,3,55.5,0,0,8.05,-0.373502321
0,3,70.5,0,0,7.75,-0.37435776
1,1,33,1,0,53.1,-0.245043868
0,3,17,0,0,144.583,0.015816614
1,3,32,0,0,8.05,-0.373502321
0,3,18,2,0,18,-0.345130254
0,3,18,1,1,202.125,0.179895556
0,3,10,3,2,27.9,-0.316900761
1,2,41,0,1,19.5,-0.340853058
0,3,22,0,0,78.958,-0.171310711
0,2,21,1,0,11.5,-0.36366477
1,2,28,0,0,12.65,-0.360385587
0,3,9,2,2,34.375,-0.298437531
0,2,39,0,0,13,-0.359387574
1,2,3,1,1,26,-0.322318542
0,3,47,1,0,14.5,-0.355110378
0,1,29,1,0,66.6,-0.206549104
1,1,60,1,0,75.25,-0.18188394
0,3,14.5,1,0,144.542,0.015699704
1,3,3,1,1,15.9,-0.351118329
0,1,31,0,0,504.958,1.043412957
1,2,34,0,0,10.5,-0.366516234
0,2,23,2,1,11.5,-0.36366477
1,1,22,0,0,151.55,0.035682764
0,1,65,0,1,619.792,1.370857975
0,3,45,0,1,144.542,0.015699704
1,2,19,0,0,26,-0.322318542
0,3,20,0,0,78.542,-0.17249692
0,1,27,0,2,211.5,0.206628031
1,1,80,0,0,30,-0.310912686
0,2,46,0,0,26,-0.322318542
1,1,31,1,0,57,-0.233923158
1,1,35,1,0,53.1,-0.245043868
1,3,22,0,0,7.225,-0.375854779
1,1,35,0,0,5.123.292,#VALUE!
1,1,53,2,0,514.792,1.071454254
0,3,22,0,0,98.375,-0.115943835
1,1,30,0,0,93.5,-0.129844722
1,3,19,0,0,8.05,-0.373502321
1,1,24,0,0,69.3,-0.198850151
1,1,40,0,0,"1,534.63",3.979471348
0,2,32,0,0,10.5,-0.366516234
0,3,16,0,0,7.775,-0.374286474
0,3,44,0,0,8.05,-0.373502321
0,1,49,1,1,"1,108.83",2.765340785
0,3,25,1,0,7.925,-0.373858754
