Pclass,Age,SibSp,Parch,Fare,Survived
2,1.384409238,0,0,-0.325091911,1
1,2.20604983,0,0,-0.288475695,0
3,-0.258871946,0,0,0.07956861,1
2,0.562768646,0,0,-0.31938845,0
1,2.342989929,0,0,-0.289730456,0
1,-0.327341996,1,0,0.915791733,1
2,0.288888448,0,0,-0.31938845,0
3,-0.327341996,0,0,-0.332962686,0
1,1.384409238,0,1,5.297853951,1
1,2.20604983,0,0,-0.288475695,0
1,1.658289435,0,0,0.83413643,0
1,2.822280274,0,0,0.780334547,0
2,-1.628272933,0,1,-0.273760767,1
3,-0.258871946,1,0,-0.169861968,0
3,-1.559802884,4,1,-0.28260113,0
2,1.521349337,0,0,-0.318247758,0
3,0.905118893,0,0,-0.334331517,0
2,-0.395812045,1,2,-0.200756473,1
2,-0.806632341,0,0,-0.322810527,0
1,1.452879287,1,0,1.429481886,1
3,0.049243276,0,0,-0.331365717,0
2,0.015008251,0,0,-0.31938845,1
3,-1.422862785,5,2,-0.242049526,0
3,-0.601222193,0,0,-0.330681302,0
2,-0.738162292,0,0,-0.31938845,0
3,-1.422862785,4,2,-0.277696154,0
3,-1.833683081,4,2,0.367023017,1
1,1.795229534,0,0,-0.288475695,0
3,0.562768646,0,0,-0.168912912,0
3,-0.806632341,0,0,-0.331308683,0
3,-0.395812045,0,0,-0.332962686,0
2,-0.053461798,1,0,-0.289730456,1
3,-0.327341996,1,0,-0.331308683,0
2,1.658289435,1,3,-0.296574609,1
3,0.699708745,0,0,-0.332563444,0
3,-0.395812045,0,0,-0.168912912,0
3,-1.902153131,0,1,-0.068721363,1
3,-0.601222193,0,0,-0.330966475,0
3,-0.87510239,0,0,-0.332791583,0
3,-0.395812045,1,0,-0.31231616,0
2,-0.87510239,0,0,-0.321669835,1
3,0.015008251,0,0,-0.33250641,0
3,0.733943769,0,2,-0.315966374,0
3,0.357358498,0,0,-0.330681302,0
2,1.658289435,1,0,-0.289730456,0
1,1.384409238,1,0,-0.106250133,0
1,1.110529041,1,0,-0.209482767,0
3,-0.738162292,1,0,-0.169861968,1
3,0.015008251,0,0,-0.15142154,0
1,-0.532752144,0,0,2.745270217,0
3,-0.258871946,0,0,0.939839804,1
2,-0.327341996,1,2,0.59953485,0
1,0.562768646,0,0,-0.349046445,0
2,0.186183374,1,0,0.336984032,0
2,0.836648843,0,0,-0.31938845,1
3,0.0834783,1,1,-0.302221034,1
3,-0.669692242,1,1,0.01008221,1
2,0.220418399,1,2,-0.285738034,1
3,-0.601222193,0,0,-0.330966475,0
2,1.863699583,0,0,-0.32087135,0
3,-0.053461798,1,0,-0.188304678,0
3,-0.258871946,1,2,-0.302106965,0
3,-0.190401897,0,1,-0.320586177,1
3,-0.395812045,0,0,-0.330681302,0
3,-1.148982588,0,0,-0.184120619,1
1,0.425828547,0,0,2.745270217,1
3,-0.258871946,0,0,-0.330681302,0
3,-1.628272933,4,2,-0.277696154,0
2,0.186183374,0,0,-0.31938845,1
2,-0.258871946,0,0,-0.325091911,0
3,0.836648843,0,0,-0.15142154,0
1,0.836648843,0,0,0.170025493,1
1,-0.053461798,0,0,-0.280604919,0
1,-0.601222193,2,2,0.249531732,1
3,-1.422862785,3,2,-0.285395826,0
3,0.425828547,0,0,-0.178038449,0
2,0.288888448,1,0,-0.289730456,0
3,0.836648843,0,0,-0.331821994,0
2,-0.464282094,0,0,-0.31938845,0
1,1.076294016,0,0,-0.284026996,0
3,-0.532752144,0,0,-0.331365717,1
1,-0.464282094,3,2,0.250957597,1
3,-1.833683081,3,1,-0.300966273,0
1,1.932169633,0,0,-0.288475695,1
2,-0.190401897,1,0,-0.03288538,1
3,0.015008251,1,0,-0.31231616,0
1,0.631238695,1,1,-0.167334194,1
2,-0.395812045,0,2,-0.315966374,1
2,-0.053461798,1,0,0.283371503,0
1,0.288888448,0,0,-0.288475695,1
3,1.17899909,0,0,-0.328513987,0
3,-1.696742983,0,0,-0.320586177,1
2,-0.395812045,0,0,-0.31938845,0
2,-1.765213032,1,1,-0.296574609,1
3,0.357358498,0,0,-0.330681302,0
3,-0.601222193,0,0,-0.31231616,0
1,-0.121931848,0,0,-0.268057306,1
3,-1.422862785,4,2,0.367023017,0
2,-0.806632341,0,0,-0.181364707,0
3,-0.532752144,1,0,-0.33250641,0
3,-0.087696823,0,0,-0.184120619,0
3,0.562768646,0,0,-0.332962686,0
3,-0.669692242,0,0,-0.169861968,0
2,0.015008251,0,0,-0.325091911,0
3,-1.422862785,1,1,-0.312772436,1
3,-1.987740692,2,1,0.090309366,1
3,0.015008251,1,1,-0.293951017,0
3,-1.765213032,4,1,-0.28260113,0
2,1.042058991,0,0,-0.318247758,1
1,-0.258871946,0,0,-0.280604919,1
1,0.562768646,0,1,3.152022767,0
3,-0.053461798,0,2,-0.001231174,1
3,-0.190401897,1,0,-0.019290611,0
3,-1.902153131,4,1,0.556377905,0
3,-0.601222193,0,0,-0.331593856,1
3,0.357358498,0,0,-0.168912912,0
3,-0.053461798,0,0,-0.331365717,1
2,-0.464282094,0,0,-0.31938845,0
3,-0.601222193,1,0,-0.326631845,0
3,-0.395812045,0,0,-0.171194296,0
1,-1.012042489,0,1,4.472373866,1
3,-1.696742983,2,1,0.090309366,1
3,-0.532752144,0,0,-0.328513987,0
