Epoch, Bad Facts (%)
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,100.0
8,100.0
9,100.0
10,100.0
11,100.0
12,100.0
13,100.0
14,100.0
15,100.0
16,100.0
17,100.0
18,100.0
19,100.0
20,100.0
21,100.0
22,100.0
23,100.0
24,100.0
25,100.0
26,100.0
27,100.0
28,100.0
29,100.0
30,100.0
31,100.0
32,100.0
33,100.0
34,100.0
35,100.0
36,100.0
37,100.0
38,100.0
39,100.0
40,100.0
41,100.0
42,100.0
43,100.0
44,100.0
45,100.0
46,100.0
47,100.0
48,100.0
49,100.0
50,100.0
51,100.0
52,100.0
53,100.0
54,100.0
55,100.0
56,100.0
57,100.0
58,100.0
59,100.0
60,100.0
61,100.0
62,100.0
63,100.0
64,100.0
65,100.0
66,100.0
67,100.0
68,100.0
69,100.0
70,100.0
71,100.0
72,100.0
73,100.0
74,100.0
75,100.0
76,100.0
77,100.0
78,100.0
79,100.0
80,100.0
81,100.0
82,100.0
83,100.0
84,100.0
85,100.0
86,100.0
87,100.0
88,100.0
89,100.0
90,100.0
91,100.0
92,100.0
93,100.0
94,100.0
95,100.0
96,100.0
97,100.0
98,100.0
99,100.0
100,100.0
101,100.0
102,100.0
103,100.0
104,100.0
105,100.0
106,100.0
107,100.0
108,100.0
109,100.0
110,100.0
111,100.0
112,100.0
113,100.0
114,100.0
115,100.0
116,100.0
117,100.0
118,100.0
119,100.0
120,100.0
121,100.0
122,100.0
123,100.0
124,96.875
125,96.875
126,96.875
127,96.875
128,96.875
129,96.875
130,96.875
131,96.875
132,96.875
133,96.875
134,96.875
135,96.875
136,96.875
137,96.875
138,96.875
139,96.875
140,96.875
141,96.875
142,96.875
143,96.875
144,96.875
145,96.875
146,96.875
147,96.875
148,96.875
149,96.875
150,96.875
151,93.75
152,93.75
153,90.625
154,90.625
155,90.625
156,90.625
157,90.625
158,90.625
159,90.625
160,90.625
161,90.625
162,90.625
163,90.625
164,90.625
165,90.625
166,87.5
167,90.625
168,87.5
169,87.5
170,87.5
171,84.375
172,87.5
173,84.375
174,87.5
175,84.375
176,87.5
177,84.375
178,87.5
179,84.375
180,87.5
181,84.375
182,87.5
183,81.25
184,84.375
185,87.5
186,87.5
187,81.25
188,87.5
189,87.5
190,81.25
191,87.5
192,84.375
193,81.25
194,81.25
195,87.5
196,84.375
197,81.25
198,84.375
199,87.5
200,84.375
201,84.375
202,87.5
203,84.375
204,84.375
205,84.375
206,78.125
207,87.5
208,84.375
209,84.375
210,81.25
211,84.375
212,84.375
213,84.375
214,84.375
215,84.375
216,87.5
217,81.25
218,81.25
219,84.375
220,84.375
221,84.375
222,84.375
223,84.375
224,78.125
225,84.375
226,84.375
227,78.125
228,84.375
229,81.25
230,84.375
231,78.125
232,81.25
233,81.25
234,81.25
235,81.25
236,81.25
237,78.125
238,81.25
239,78.125
240,78.125
241,71.875
242,78.125
243,75.0
244,78.125
245,78.125
246,71.875
247,75.0
248,78.125
249,75.0
250,75.0
251,75.0
252,71.875
253,75.0
254,68.75
255,71.875
256,68.75
257,75.0
258,65.625
259,68.75
260,62.5
261,71.875
262,62.5
263,68.75
264,59.375
265,59.375
266,71.875
267,62.5
268,62.5
269,59.375
270,62.5
271,53.125
272,53.125
273,46.875
274,53.125
275,56.25
276,46.875
277,46.875
278,46.875
279,46.875
280,37.5
281,40.625
282,34.375
283,34.375
284,34.375
285,34.375
286,34.375
287,34.375
288,31.25
289,28.125
290,34.375
291,31.25
292,28.125
293,34.375
294,31.25
295,34.375
296,28.125
297,28.125
298,28.125
299,34.375
300,34.375
301,31.25
302,28.125
303,28.125
304,28.125
305,25.0
306,28.125
307,25.0
308,21.875
309,28.125
310,25.0
311,18.75
312,21.875
313,21.875
314,25.0
315,21.875
316,25.0
317,18.75
318,21.875
319,25.0
320,21.875
321,21.875
322,25.0
323,18.75
324,21.875
325,25.0
326,21.875
327,25.0
328,18.75
329,18.75
330,21.875
331,25.0
332,21.875
333,18.75
334,18.75
335,21.875
336,25.0
337,18.75
338,21.875
339,25.0
340,21.875
341,21.875
342,15.625
343,18.75
344,15.625
345,21.875
346,18.75
347,18.75
348,18.75
349,12.5
350,18.75
351,18.75
352,12.5
353,18.75
354,18.75
355,21.875
356,15.625
357,18.75
358,18.75
359,12.5
360,18.75
361,18.75
362,25.0
363,18.75
364,15.625
365,21.875
366,15.625
367,12.5
368,18.75
369,12.5
370,12.5
371,18.75
372,15.625
373,18.75
374,21.875
375,15.625
376,12.5
377,18.75
378,15.625
379,18.75
380,12.5
381,18.75
382,9.375
383,18.75
384,18.75
385,12.5
386,9.375
387,6.25
388,12.5
389,0.0
